Algoritmo,Caso,Desv,Tiempo(ms),Evals
GRASP-NoBL,GKD-b_37_n125_m37.txt,85.05,1.00,10
GRASP-NoBL,GKD-b_38_n125_m37.txt,77.81,1.00,10
GRASP-NoBL,GKD-b_39_n125_m37.txt,79.38,1.00,10
GRASP-NoBL,GKD-b_3_n25_m2.txt,0.00,0.00,10
GRASP-NoBL,GKD-b_40_n125_m37.txt,75.54,1.00,10
GRASP-NoBL,GKD-b_41_n150_m15.txt,90.10,0.00,10
GRASP-NoBL,GKD-b_42_n150_m15.txt,87.56,0.00,10
GRASP-NoBL,GKD-b_43_n150_m15.txt,87.55,0.00,10
GRASP-NoBL,GKD-b_44_n150_m15.txt,90.50,0.00,10
GRASP-NoBL,GKD-b_45_n150_m15.txt,87.37,0.00,10
GRASP-NoBL,GKD-b_46_n150_m45.txt,80.52,2.00,10
GRASP-NoBL,GKD-b_47_n150_m45.txt,74.30,2.00,10
GRASP-NoBL,GKD-b_48_n150_m45.txt,77.64,2.00,10
GRASP-NoBL,GKD-b_49_n150_m45.txt,76.68,2.00,10
GRASP-NoBL,GKD-b_4_n25_m2.txt,0.00,0.00,10
GRASP-NoBL,GKD-b_50_n150_m45.txt,77.69,2.00,10
GRASP-NoBL,GKD-b_5_n25_m2.txt,0.00,0.00,10
GRASP-NoBL,GKD-b_6_n25_m7.txt,89.26,0.00,10
GRASP-NoBL,GKD-b_7_n25_m7.txt,77.42,0.00,10
GRASP-NoBL,GKD-b_8_n25_m7.txt,76.01,0.00,10
GRASP-NoBL,GKD-b_9_n25_m7.txt,76.77,0.00,10
GRASP-SiBL,GKD-b_10_n25_m7.txt,15.17,3.80,2492
GRASP-SiBL,GKD-b_11_n50_m5.txt,75.80,5.20,4288
GRASP-SiBL,GKD-b_12_n50_m5.txt,74.87,4.80,4057
GRASP-SiBL,GKD-b_13_n50_m5.txt,68.97,5.20,4047
GRASP-SiBL,GKD-b_14_n50_m5.txt,81.64,5.20,4184
GRASP-SiBL,GKD-b_15_n50_m5.txt,57.82,4.40,3759
GRASP-SiBL,GKD-b_16_n50_m15.txt,54.08,29.60,6079
GRASP-SiBL,GKD-b_17_n50_m15.txt,54.81,28.20,5939
GRASP-SiBL,GKD-b_18_n50_m15.txt,57.41,28.80,5598
GRASP-SiBL,GKD-b_19_n50_m15.txt,52.80,30.60,6095
GRASP-SiBL,GKD-b_1_n25_m2.txt,0.00,0.00,470
GRASP-SiBL,GKD-b_20_n50_m15.txt,42.83,30.00,5982
GRASP-SiBL,GKD-b_21_n100_m10.txt,61.33,24.00,6518
GRASP-SiBL,GKD-b_22_n100_m10.txt,62.57,25.00,7093
GRASP-SiBL,GKD-b_23_n100_m10.txt,66.32,22.00,5917
GRASP-SiBL,GKD-b_24_n100_m10.txt,75.17,25.80,7311
GRASP-SiBL,GKD-b_25_n100_m10.txt,55.60,24.60,6850
GRASP-SiBL,GKD-b_26_n100_m30.txt,54.50,121.80,5234
GRASP-SiBL,GKD-b_27_n100_m30.txt,67.60,116.40,5654
GRASP-SiBL,GKD-b_28_n100_m30.txt,57.86,128.80,5082
GRASP-SiBL,GKD-b_29_n100_m30.txt,57.67,124.80,5656
GRASP-SiBL,GKD-b_2_n25_m2.txt,0.00,0.00,470
GRASP-SiBL,GKD-b_30_n100_m30.txt,62.01,120.60,5581
GRASP-SiBL,GKD-b_31_n125_m12.txt,72.54,37.00,5993
GRASP-SiBL,GKD-b_32_n125_m12.txt,59.78,35.00,6454
GRASP-SiBL,GKD-b_33_n125_m12.txt,64.95,38.20,6977
GRASP-SiBL,GKD-b_34_n125_m12.txt,63.12,34.80,6323
GRASP-SiBL,GKD-b_35_n125_m12.txt,69.81,32.20,5695
GRASP-SiBL,GKD-b_36_n125_m37.txt,72.34,169.60,5330
GRASP-SiBL,GKD-b_37_n125_m37.txt,68.86,200.40,5060
GRASP-SiBL,GKD-b_38_n125_m37.txt,61.62,181.80,5174
GRASP-SiBL,GKD-b_39_n125_m37.txt,67.21,189.40,6048
GRASP-SiBL,GKD-b_3_n25_m2.txt,0.00,0.00,470
GRASP-SiBL,GKD-b_40_n125_m37.txt,61.44,191.20,6350
GRASP-SiBL,GKD-b_41_n150_m15.txt,66.69,55.60,6287
GRASP-SiBL,GKD-b_42_n150_m15.txt,72.69,58.00,7506
GRASP-SiBL,GKD-b_43_n150_m15.txt,68.09,54.20,5689
GRASP-SiBL,GKD-b_44_n150_m15.txt,66.39,56.80,6135
GRASP-SiBL,GKD-b_45_n150_m15.txt,65.00,47.60,5825
GRASP-SiBL,GKD-b_46_n150_m45.txt,68.76,295.40,5511
GRASP-SiBL,GKD-b_47_n150_m45.txt,63.30,243.80,5171
GRASP-SiBL,GKD-b_48_n150_m45.txt,58.78,276.40,4888
GRASP-SiBL,GKD-b_49_n150_m45.txt,68.20,276.00,5493
GRASP-SiBL,GKD-b_4_n25_m2.txt,0.00,0.00,470
GRASP-SiBL,GKD-b_50_n150_m45.txt,66.35,276.40,5132
GRASP-SiBL,GKD-b_5_n25_m2.txt,0.00,0.00,470
GRASP-SiBL,GKD-b_6_n25_m7.txt,40.02,4.40,2650
GRASP-SiBL,GKD-b_7_n25_m7.txt,29.46,3.80,2454
GRASP-SiBL,GKD-b_8_n25_m7.txt,30.75,4.20,2803
GRASP-SiBL,GKD-b_9_n25_m7.txt,11.55,3.80,2500
Greedy,GKD-b_10_n25_m7.txt,81.03,0.00,1
Greedy,GKD-b_11_n50_m5.txt,96.85,0.00,1
Greedy,GKD-b_12_n50_m5.txt,96.62,0.00,1
Greedy,GKD-b_13_n50_m5.txt,97.86,0.00,1
Greedy,GKD-b_14_n50_m5.txt,95.29,0.00,1
Greedy,GKD-b_15_n50_m5.txt,95.43,0.00,1
Greedy,GKD-b_16_n50_m15.txt,83.34,0.00,1
Greedy,GKD-b_17_n50_m15.txt,78.36,0.00,1
Greedy,GKD-b_18_n50_m15.txt,79.25,0.00,1
Greedy,GKD-b_19_n50_m15.txt,87.11,0.00,1
Greedy,GKD-b_1_n25_m2.txt,0.00,0.00,1
Greedy,GKD-b_20_n50_m15.txt,82.95,0.00,1
Greedy,GKD-b_21_n100_m10.txt,88.15,0.00,1
Greedy,GKD-b_22_n100_m10.txt,92.84,0.00,1
Greedy,GKD-b_23_n100_m10.txt,89.78,0.00,1
Greedy,GKD-b_24_n100_m10.txt,96.28,0.00,1
Greedy,GKD-b_25_n100_m10.txt,92.14,0.00,1
Greedy,GKD-b_26_n100_m30.txt,73.46,0.00,1
Greedy,GKD-b_27_n100_m30.txt,80.59,0.00,1
Greedy,GKD-b_28_n100_m30.txt,84.85,0.00,1
Greedy,GKD-b_29_n100_m30.txt,77.74,0.00,1
Greedy,GKD-b_2_n25_m2.txt,0.00,0.00,1
Greedy,GKD-b_30_n100_m30.txt,85.42,0.00,1
Greedy,GKD-b_31_n125_m12.txt,78.97,0.00,1
Greedy,GKD-b_32_n125_m12.txt,91.34,0.00,1
Greedy,GKD-b_33_n125_m12.txt,89.50,0.00,1
Greedy,GKD-b_34_n125_m12.txt,93.40,0.00,1
Greedy,GKD-b_35_n125_m12.txt,92.49,0.00,1
Greedy,GKD-b_36_n125_m37.txt,86.48,0.00,1
Greedy,GKD-b_37_n125_m37.txt,83.49,0.00,1
Greedy,GKD-b_38_n125_m37.txt,79.66,0.00,1
Greedy,GKD-b_39_n125_m37.txt,78.28,0.00,1
Greedy,GKD-b_3_n25_m2.txt,0.00,0.00,1
Greedy,GKD-b_40_n125_m37.txt,81.91,0.00,1
Greedy,GKD-b_41_n150_m15.txt,95.95,0.00,1
Greedy,GKD-b_42_n150_m15.txt,90.36,0.00,1
Greedy,GKD-b_43_n150_m15.txt,90.33,0.00,1
Greedy,GKD-b_44_n150_m15.txt,92.25,0.00,1
Greedy,GKD-b_45_n150_m15.txt,84.72,0.00,1
Greedy,GKD-b_46_n150_m45.txt,76.69,0.00,1
Greedy,GKD-b_47_n150_m45.txt,88.19,0.00,1
Greedy,GKD-b_48_n150_m45.txt,84.14,0.00,1
Greedy,GKD-b_49_n150_m45.txt,75.27,0.00,1
Greedy,GKD-b_4_n25_m2.txt,0.00,0.00,1
Greedy,GKD-b_50_n150_m45.txt,80.55,0.00,1
Greedy,GKD-b_5_n25_m2.txt,0.00,0.00,1
Greedy,GKD-b_6_n25_m7.txt,92.62,0.00,1
Greedy,GKD-b_7_n25_m7.txt,85.69,0.00,1
Greedy,GKD-b_8_n25_m7.txt,86.22,0.00,1
Greedy,GKD-b_9_n25_m7.txt,74.10,0.00,1
ILS,GKD-b_10_n25_m7.txt,13.31,4.20,2635
ILS,GKD-b_11_n50_m5.txt,71.42,4.60,3869
ILS,GKD-b_12_n50_m5.txt,67.42,4.60,3982
ILS,GKD-b_13_n50_m5.txt,68.74,5.00,4234
ILS,GKD-b_14_n50_m5.txt,69.85,4.60,3683
ILS,GKD-b_15_n50_m5.txt,67.33,4.80,3980
ILS,GKD-b_16_n50_m15.txt,47.97,28.00,5718
ILS,GKD-b_17_n50_m15.txt,33.48,29.40,5802
ILS,GKD-b_18_n50_m15.txt,41.20,29.40,6192
ILS,GKD-b_19_n50_m15.txt,46.93,29.80,5714
ILS,GKD-b_1_n25_m2.txt,0.00,0.00,460
ILS,GKD-b_20_n50_m15.txt,35.30,28.60,6035
ILS,GKD-b_21_n100_m10.txt,56.61,22.20,6738
ILS,GKD-b_22_n100_m10.txt,57.36,21.60,6626
ILS,GKD-b_23_n100_m10.txt,58.07,21.60,6767
ILS,GKD-b_24_n100_m10.txt,72.49,23.00,7679
ILS,GKD-b_25_n100_m10.txt,43.74,21.80,7145
ILS,GKD-b_26_n100_m30.txt,49.17,126.20,5963
ILS,GKD-b_27_n100_m30.txt,58.45,132.20,6882
ILS,GKD-b_28_n100_m30.txt,65.57,136.00,5872
ILS,GKD-b_29_n100_m30.txt,57.97,124.20,5947
ILS,GKD-b_2_n25_m2.txt,0.00,0.00,460
ILS,GKD-b_30_n100_m30.txt,62.18,132.00,6412
ILS,GKD-b_31_n125_m12.txt,74.46,33.40,5998
ILS,GKD-b_32_n125_m12.txt,48.82,32.60,7441
ILS,GKD-b_33_n125_m12.txt,55.78,33.80,6551
ILS,GKD-b_34_n125_m12.txt,51.08,36.20,8010
ILS,GKD-b_35_n125_m12.txt,57.90,32.80,6713
ILS,GKD-b_36_n125_m37.txt,59.76,188.20,5249
ILS,GKD-b_37_n125_m37.txt,57.80,213.40,5543
ILS,GKD-b_38_n125_m37.txt,64.33,185.20,5685
ILS,GKD-b_39_n125_m37.txt,58.23,213.40,6813
ILS,GKD-b_3_n25_m2.txt,0.00,0.00,460
ILS,GKD-b_40_n125_m37.txt,58.62,214.60,6442
ILS,GKD-b_41_n150_m15.txt,59.38,56.40,7975
ILS,GKD-b_42_n150_m15.txt,64.24,51.80,6934
ILS,GKD-b_43_n150_m15.txt,65.11,49.80,6196
ILS,GKD-b_44_n150_m15.txt,65.61,49.80,6421
ILS,GKD-b_45_n150_m15.txt,62.90,51.00,6510
ILS,GKD-b_46_n150_m45.txt,63.20,293.60,5120
ILS,GKD-b_47_n150_m45.txt,61.21,290.20,4940
ILS,GKD-b_48_n150_m45.txt,59.11,330.60,6037
ILS,GKD-b_49_n150_m45.txt,64.10,306.20,5053
ILS,GKD-b_4_n25_m2.txt,0.00,0.00,460
ILS,GKD-b_50_n150_m45.txt,59.10,323.60,6355
ILS,GKD-b_5_n25_m2.txt,0.00,0.00,460
ILS,GKD-b_6_n25_m7.txt,15.16,3.60,2562
ILS,GKD-b_7_n25_m7.txt,30.23,3.60,2361
ILS,GKD-b_8_n25_m7.txt,26.42,4.00,2641
ILS,GKD-b_9_n25_m7.txt,27.42,4.20,2924
ILS-ES,GKD-b_10_n25_m7.txt,12.55,85.60,16250
ILS-ES,GKD-b_11_n50_m5.txt,73.93,94.40,12650
ILS-ES,GKD-b_12_n50_m5.txt,71.43,93.40,12547
ILS-ES,GKD-b_13_n50_m5.txt,69.98,91.60,12280
ILS-ES,GKD-b_14_n50_m5.txt,68.86,98.80,13243
ILS-ES,GKD-b_15_n50_m5.txt,53.22,96.80,12974
ILS-ES,GKD-b_16_n50_m15.txt,39.18,340.20,36305
ILS-ES,GKD-b_17_n50_m15.txt,31.14,412.40,44093
ILS-ES,GKD-b_18_n50_m15.txt,37.91,356.80,38103
ILS-ES,GKD-b_19_n50_m15.txt,16.56,358.80,38212
ILS-ES,GKD-b_1_n25_m2.txt,0.00,49.00,10009
ILS-ES,GKD-b_20_n50_m15.txt,25.07,365.40,39009
ILS-ES,GKD-b_21_n100_m10.txt,44.27,375.40,31937
ILS-ES,GKD-b_22_n100_m10.txt,52.45,330.20,28103
ILS-ES,GKD-b_23_n100_m10.txt,39.39,329.40,28030
ILS-ES,GKD-b_24_n100_m10.txt,70.78,317.80,26991
ILS-ES,GKD-b_25_n100_m10.txt,35.34,334.20,28419
ILS-ES,GKD-b_26_n100_m30.txt,34.35,1505.40,82733
ILS-ES,GKD-b_27_n100_m30.txt,40.72,1462.80,80385
ILS-ES,GKD-b_28_n100_m30.txt,51.06,1493.40,82220
ILS-ES,GKD-b_29_n100_m30.txt,24.93,1579.20,87014
ILS-ES,GKD-b_2_n25_m2.txt,0.00,48.80,10009
ILS-ES,GKD-b_30_n100_m30.txt,43.51,1503.20,82875
ILS-ES,GKD-b_31_n125_m12.txt,50.98,721.40,49926
ILS-ES,GKD-b_32_n125_m12.txt,42.09,508.80,35167
ILS-ES,GKD-b_33_n125_m12.txt,45.91,547.20,37837
ILS-ES,GKD-b_34_n125_m12.txt,39.23,540.60,37385
ILS-ES,GKD-b_35_n125_m12.txt,44.61,533.60,36893
ILS-ES,GKD-b_36_n125_m37.txt,46.62,1900.00,78289
ILS-ES,GKD-b_37_n125_m37.txt,41.79,1898.20,78213
ILS-ES,GKD-b_38_n125_m37.txt,48.07,1904.60,78208
ILS-ES,GKD-b_39_n125_m37.txt,43.34,1901.60,78308
ILS-ES,GKD-b_3_n25_m2.txt,0.00,48.80,10009
ILS-ES,GKD-b_40_n125_m37.txt,49.22,1902.80,78213
ILS-ES,GKD-b_41_n150_m15.txt,49.39,755.20,46654
ILS-ES,GKD-b_42_n150_m15.txt,44.14,839.60,51972
ILS-ES,GKD-b_43_n150_m15.txt,48.67,833.20,51522
ILS-ES,GKD-b_44_n150_m15.txt,34.35,775.20,47968
ILS-ES,GKD-b_45_n150_m15.txt,41.42,760.00,47022
ILS-ES,GKD-b_46_n150_m45.txt,48.79,2840.80,95008
ILS-ES,GKD-b_47_n150_m45.txt,41.25,2843.20,95015
ILS-ES,GKD-b_48_n150_m45.txt,40.91,2840.80,95083
ILS-ES,GKD-b_49_n150_m45.txt,48.24,2835.40,94986
ILS-ES,GKD-b_4_n25_m2.txt,0.00,48.40,10009
ILS-ES,GKD-b_50_n150_m45.txt,45.43,2837.40,95000
ILS-ES,GKD-b_5_n25_m2.txt,0.00,48.20,10009
ILS-ES,GKD-b_6_n25_m7.txt,22.28,86.00,16414
ILS-ES,GKD-b_7_n25_m7.txt,23.17,84.60,16032
ILS-ES,GKD-b_8_n25_m7.txt,26.36,83.40,15771
